timestamp,setup_type,direction,trigger_price,pivot_price,stop_price
2026-05-24T10:00:00+00:00,SFP,DOWN,77190.74,77404.18,77712.9
2026-05-25T06:00:00+00:00,SFP,DOWN,77419.87,77543.15,77828.59
2026-05-26T15:00:00+00:00,SFP,UP,76518.1,76475.59,76042.12
2026-05-26T16:00:00+00:00,SFP,UP,76558.0,76475.59,75977.66
2026-05-26T17:00:00+00:00,OPEN_DRIVE,DOWN,75935.08,76475.59,76893.83
2026-05-26T18:00:00+00:00,SR_FLIP,DOWN,75840.55,76475.59,76548.84
2026-05-26T21:00:00+00:00,CDC,DOWN,75890.0,76475.59,76541.83
2026-05-26T21:00:00+00:00,SR_FLIP,DOWN,75890.0,76475.59,76541.83
2026-05-26T22:00:00+00:00,SR_FLIP,DOWN,75749.02,76475.59,76540.53
2026-05-27T18:00:00+00:00,MOMENTUM_DIVERGENCE,UP,75026.67,,74457.45
2026-05-27T23:00:00+00:00,MOMENTUM_DIVERGENCE,UP,74449.3,,74029.93
2026-05-28T14:00:00+00:00,MOMENTUM_DIVERGENCE,UP,73033.06,,72348.56
2026-05-29T15:00:00+00:00,SFP,DOWN,73808.26,73949.22,74420.08
2026-05-29T18:00:00+00:00,OPEN_DRIVE,DOWN,73374.52,73949.22,74309.6
2026-06-01T08:00:00+00:00,MOMENTUM_DIVERGENCE,UP,72902.65,,72440.78
2026-06-01T16:00:00+00:00,MOMENTUM_DIVERGENCE,UP,71564.01,,70451.53
2026-06-02T02:00:00+00:00,MOMENTUM_DIVERGENCE,UP,70846.49,,69873.14
2026-06-02T07:00:00+00:00,MOMENTUM_DIVERGENCE,UP,70118.42,,69499.7
2026-06-02T23:00:00+00:00,MOMENTUM_DIVERGENCE,UP,66760.83,,65864.02
2026-06-03T19:00:00+00:00,SFP,UP,65462.0,65426.34,64951.06
2026-06-03T22:00:00+00:00,OPEN_DRIVE,DOWN,64912.98,65426.34,66175.3
2026-06-04T02:00:00+00:00,MOMENTUM_DIVERGENCE,UP,63231.99,,60939.44
2026-06-05T14:00:00+00:00,MOMENTUM_DIVERGENCE,UP,60868.97,,59876.36
2026-06-05T16:00:00+00:00,MOMENTUM_DIVERGENCE,UP,61394.39,,59290.32
2026-06-05T19:00:00+00:00,MOMENTUM_DIVERGENCE,UP,60300.24,,58600.47
2026-06-07T22:00:00+00:00,SFP,DOWN,62865.87,62960.0,64565.92
2026-06-09T12:00:00+00:00,SFP,UP,62645.15,62423.07,62198.03
2026-06-09T16:00:00+00:00,MOMENTUM_DIVERGENCE,UP,61390.51,,60511.17
2026-06-10T09:00:00+00:00,SFP,UP,61334.94,60780.0,60523.35
2026-06-10T09:00:00+00:00,MOMENTUM_DIVERGENCE,UP,61334.94,,60523.35
2026-06-11T06:00:00+00:00,SFP,DOWN,62772.0,62857.99,63246.97
2026-06-11T11:00:00+00:00,MOMENTUM_DIVERGENCE,DOWN,63108.0,,63473.02
2026-06-11T18:00:00+00:00,MOMENTUM_DIVERGENCE,DOWN,63461.12,,64035.39
2026-06-12T09:00:00+00:00,SFP,DOWN,63752.93,63933.02,64167.61
2026-06-12T14:00:00+00:00,OPEN_DRIVE,UP,63999.99,63933.02,62972.38
